"filename", "language", "YAML", "Python", "CSV", "comment", "blank", "total"
"f:\service_migration\config\env.yaml", "YAML", 15, 0, 0, 0, 1, 16
"f:\service_migration\experiments\results\baseline_results.csv", "CSV", 0, 0, 1, 0, 0, 1
"f:\service_migration\experiments\results\baseline_step_results.csv", "CSV", 0, 0, 80, 0, 0, 80
"f:\service_migration\experiments\run_experiment.py", "Python", 0, 2, 0, 0, 1, 3
"f:\service_migration\experiments\visualize_baseline.py", "Python", 0, 1, 0, 0, 1, 2
"f:\service_migration\src\algorithms\llm_policy.py", "Python", 0, 47, 0, 0, 8, 55
"f:\service_migration\src\llm_core\llm_client.py", "Python", 0, 131, 0, 5, 24, 160
"f:\service_migration\src\llm_core\parser.py", "Python", 0, 30, 0, 0, 12, 42
"f:\service_migration\src\llm_core\prompt_builder.py", "Python", 0, 53, 0, 0, 9, 62
"Total", "-", 15, 264, 81, 5, 56, 421
